SKU,Nome do Produto,Marca,Categoria,Fornecedor,Estado do Fornecedor,Preço,EAN,NCM,CEST,Peso (kg),Largura (cm),Altura (cm),Comprimento (cm),Peso da Caixa (kg),Imagem Principal
CZA01018, Jogo de Panelas Com Alça Removível 7 Peças,WINCY,Utilidades Domésticas,WeDrop,SP,189.99,7908631464457,76151000,,1500,29,29,13,0,https://wedrop-products-images.nyc3.cdn.digitaloceanspaces.com/dxw0rm2yq17-lg.jpg
CZC01002,Conjunto Panelas com Tampa 7 Peças - Inox,WINCY,Utilidades Domésticas,WeDrop,SP,169.99,7908631411819,73239300,,2079,48,16,26,0,https://wedrop-products-images.nyc3.cdn.digitaloceanspaces.com/0wegfioyqa1m-lg.jpg
3686,Bicicleta Infantil Aro 16 com Rodinha Removível - Branca,UNITOYS,Brinquedos,UNITOYS,SP,379.99,7908901503992,87120010,,9500,25,46,100,0,https://wedrop-products-images.nyc3.cdn.digitaloceanspaces.com/39zwksfavy7-lg.jpg
3685,Bicicleta Infantil Aro 16 com Rodinha Removível - Rosa,UNITOYS,Brinquedos,UNITOYS,SP,379.99,7908901503985,87120010,,9500,26,46,100,0,https://wedrop-products-images.nyc3.cdn.digitaloceanspaces.com/07t6s0dlmp6s-lg.jpg
3693,Bicicleta Infantil Aro 16 Grafitti - Verde,UNITOYS,Brinquedos,UNITOYS,SP,379.99,7908901504067,95030010,,9500,26,46,100,0,https://wedrop-products-images.nyc3.cdn.digitaloceanspaces.com/1m4bmtzdsw8-lg.jpg
15091,Carrinho Infantil Super-Car Giratório -Rosa,UNITOYS,Brinquedos,UNITOYS,SP,169.99,7898710040712,95030010,,2200,23,20,70,0,https://wedrop-products-images.nyc3.cdn.digitaloceanspaces.com/nm7sozjpsn-lg.jpg
15081, Carrinho Infantil Super-Car Giratório -Azul,UNITOYS,Brinquedos,UNITOYS,SP,169.99,7898710040705,95030010,,2199.999,23,20,70,0,https://wedrop-products-images.nyc3.cdn.digitaloceanspaces.com/aqxtgx43y2l-lg.jpg
TUD0872, Bicicleta Infantil de Equilíbrio 4 Rodas - Azul,IMPORTUDO,Brinquedos,TOY MASTER,SC,89.99,7898696008720,95030099,,1900,46,18,25,0,https://wedrop-products-images.nyc3.cdn.digitaloceanspaces.com/7cy6vcg9wn7-lg.jpg
TUD0680 ,Andador Infantil Multifuncional com Musica- Branco,IMPORTUDO,Brinquedos,TOY MASTER,SC,118.99,7898696006801,95030099,,1600,47,35,12,0,https://wedrop-products-images.nyc3.cdn.digitaloceanspaces.com/ovppq89cf0p-lg.jpg
TUD0695,Cozinha Fast Food - Rosa,IMPORTUDO,Brinquedos,TOY MASTER,SC,319.99,7898696006955,95030099,,435,57,73,16,0,https://wedrop-products-images.nyc3.cdn.digitaloceanspaces.com/c1hwtyknrah-lg.jpg
